Name,Class,Reg. No,Age
Bob,II M.Tech,89757,24
Eva,II M.Sc(M),54606,30
Eva,II M.Tech,47611,21
Alice,I M.Sc(M),16445,25
Eva,I M.Sc(M),17832,21
Eva,II M.Tech,5526,22
Eva,I M.Sc(M),25802,24
Alice,II M.Sc(M),62306,30
Bob,I M.Tech,50904,26
Alice,I M.Tech,57352,26
Eva,II M.Sc(M),24408,22
Alice,I M.Tech,76761,28
Bob,B.Sc(Hons),36743,26
Eva,I M.Tech,75588,20
Charlie,II M.Sc(M),11514,25
Charlie,II M.Tech,47396,23
David,II M.Tech,46560,24
David,I M.Tech,15124,20
Bob,II M.Sc(M),76109,22
David,I M.Sc(M),22436,20
Charlie,II M.Sc(M),52338,29
Bob,I M.Tech,44746,29
Bob,I M.Sc(M),35210,28
David,I M.Tech,14741,30
Bob,II M.Tech,44697,27
Bob,I M.Sc(M),93130,24
Alice,II M.Sc(M),16561,24
David,II M.Tech,24575,26
Eva,I M.Tech,26664,23
Eva,II M.Sc(M),32261,29
Charlie,I M.Tech,7525,25
Eva,I M.Tech,67482,26
Bob,I M.Sc(M),64632,25
Charlie,I M.Tech,13282,25
Charlie,II M.Tech,71762,25
Charlie,I M.Sc(M),55775,30
David,II M.Sc(M),25739,29
Eva,I M.Sc(M),110,30
Charlie,I M.Sc(M),58370,27
Charlie,II M.Tech,90371,20
Eva,I M.Sc(M),58743,25
Eva,II M.Tech,63522,22
David,II M.Tech,78023,21
Bob,II M.Sc(M),35286,28
Eva,I M.Sc(M),61868,27
Bob,II M.Tech,12127,23
Charlie,I M.Sc(M),25240,28
Eva,II M.Sc(M),57546,28
Bob,II M.Tech,15623,20
Bob,I M.Tech,85759,25
David,II M.Tech,31156,20
Alice,B.Sc(Hons),68148,20
Alice,I M.Tech,53512,24
Charlie,I M.Tech,66566,21
Alice,I M.Sc(M),63352,24
Bob,I M.Sc(M),55802,20
Eva,II M.Sc(M),27752,27
Bob,II M.Tech,62643,25
David,I M.Tech,27802,22
David,I M.Sc(M),68053,22
Eva,II M.Sc(M),60975,29
Eva,II M.Sc(M),43072,20
Charlie,B.Sc(Hons),12520,26
Eva,II M.Tech,96068,27
Eva,I M.Tech,45804,30
David,I M.Tech,97143,21
Alice,II M.Tech,8548,30
Charlie,II M.Tech,68319,20
Eva,I M.Tech,89495,20
David,II M.Sc(M),94537,25
Bob,II M.Tech,15664,27
Eva,II M.Sc(M),27015,21
Eva,I M.Sc(M),12875,20
Alice,II M.Sc(M),25350,27
Charlie,I M.Tech,99410,27
David,I M.Sc(M),25705,24
Eva,II M.Tech,54326,24
Bob,II M.Tech,91141,20
Charlie,II M.Tech,95407,22
Eva,II M.Sc(M),60245,29
Bob,I M.Sc(M),10102,23
Charlie,II M.Sc(M),76710,20
Bob,B.Sc(Hons),32848,22
Bob,B.Sc(Hons),30821,22
Eva,II M.Tech,3523,25
Bob,II M.Tech,51169,25
Alice,II M.Tech,31205,24
Alice,B.Sc(Hons),54644,26
Eva,I M.Sc(M),75862,24
Charlie,I M.Tech,50563,23
David,I M.Sc(M),97710,28
David,B.Sc(Hons),20502,25
Bob,II M.Tech,83657,21
Charlie,II M.Sc(M),50915,28
Charlie,I M.Sc(M),82452,26
Alice,I M.Sc(M),54403,30
Eva,I M.Tech,47630,24
David,II M.Tech,70398,28
Alice,II M.Sc(M),70808,29
Bob,I M.Sc(M),42211,24
Charlie,I M.Tech,93967,24
Eva,B.Sc(Hons),14562,28
Alice,II M.Tech,4079,23
Alice,B.Sc(Hons),81095,26
Eva,I M.Tech,22403,26
Alice,B.Sc(Hons),24018,29
Eva,I M.Sc(M),70146,27
Bob,II M.Sc(M),53877,28
Charlie,I M.Sc(M),40041,30
David,B.Sc(Hons),45269,29
Alice,I M.Sc(M),66407,24
David,I M.Sc(M),91889,20
Alice,I M.Tech,72787,20
Charlie,II M.Sc(M),46907,30
Alice,II M.Sc(M),29709,27
Eva,B.Sc(Hons),42934,21
Eva,I M.Tech,28410,22
Alice,I M.Sc(M),56396,24
Bob,I M.Tech,48625,27
Alice,I M.Sc(M),209,22
Alice,B.Sc(Hons),77916,28
Bob,II M.Sc(M),79824,23
Eva,II M.Sc(M),29080,26
Bob,II M.Sc(M),81670,29
Alice,B.Sc(Hons),57696,21
Charlie,II M.Tech,54737,28
David,B.Sc(Hons),8266,24
Alice,II M.Sc(M),77634,21
Charlie,II M.Sc(M),59146,30
Bob,I M.Tech,43338,24
Alice,II M.Tech,54956,28
Alice,II M.Tech,79798,23
David,I M.Sc(M),3142,26
Eva,B.Sc(Hons),81887,23
David,I M.Tech,64998,21
David,I M.Sc(M),75286,25
David,I M.Tech,21637,21
David,B.Sc(Hons),10136,27
Bob,II M.Sc(M),88506,20
Eva,II M.Sc(M),71614,28
Alice,B.Sc(Hons),81267,21
Charlie,I M.Tech,7561,29
Charlie,B.Sc(Hons),34773,30
David,I M.Tech,79415,24
David,I M.Tech,38930,25
Alice,B.Sc(Hons),62348,21
Bob,I M.Tech,78020,21
Charlie,I M.Tech,81017,28
Bob,II M.Tech,71225,30
Eva,II M.Tech,47281,29
Alice,I M.Sc(M),43317,29
Eva,I M.Tech,5701,26
Eva,B.Sc(Hons),99259,28
David,I M.Sc(M),89301,21
Alice,I M.Sc(M),89697,27
Alice,I M.Tech,81538,21
Alice,B.Sc(Hons),2459,27
Eva,B.Sc(Hons),99360,23
David,II M.Tech,64362,29
Alice,I M.Tech,91536,27
David,B.Sc(Hons),43956,28
Bob,B.Sc(Hons),38409,21
David,I M.Sc(M),24088,30
Charlie,II M.Tech,77074,29
David,B.Sc(Hons),235,25
Eva,B.Sc(Hons),83365,21
Eva,I M.Sc(M),15706,23
Charlie,I M.Sc(M),21928,23
David,II M.Tech,9953,26
Charlie,B.Sc(Hons),67837,27
Eva,II M.Tech,27754,25
Bob,B.Sc(Hons),65009,29
David,B.Sc(Hons),81012,20
David,B.Sc(Hons),11299,29
Alice,II M.Sc(M),62652,28
David,B.Sc(Hons),84586,25
Eva,II M.Tech,89131,30
David,II M.Sc(M),63852,22
Alice,II M.Tech,21369,29
Bob,II M.Tech,71118,25
Alice,I M.Sc(M),71642,21
Charlie,I M.Sc(M),69558,27
Alice,II M.Tech,87345,20
Alice,I M.Tech,72617,25
Alice,II M.Tech,34111,21
Eva,II M.Sc(M),34809,21
Alice,B.Sc(Hons),31869,30
Eva,I M.Tech,54246,25
Eva,I M.Tech,86325,20
David,I M.Tech,55268,24
Eva,I M.Tech,61593,29
Bob,II M.Tech,34141,22
Charlie,I M.Sc(M),32628,23
Charlie,II M.Tech,73133,25
Eva,II M.Sc(M),78350,25
Alice,B.Sc(Hons),79525,25
Eva,II M.Sc(M),28541,24
Eva,II M.Tech,5759,23
Eva,I M.Sc(M),50622,27
Bob,I M.Sc(M),91364,27
Eva,I M.Sc(M),57212,21
Alice,II M.Sc(M),50054,23
Eva,I M.Tech,19533,27
Charlie,I M.Tech,3073,30
Eva,I M.Sc(M),36910,21
David,II M.Tech,95826,25
Charlie,II M.Sc(M),70327,20
Alice,I M.Tech,65123,20
Eva,II M.Tech,5584,22
Alice,I M.Sc(M),24713,22
Bob,I M.Sc(M),78809,26
Bob,I M.Sc(M),46337,26
Charlie,II M.Sc(M),70677,27
Eva,II M.Tech,45659,23
Charlie,II M.Sc(M),40478,24
Bob,I M.Tech,95995,21
Alice,II M.Sc(M),88318,30
Charlie,II M.Sc(M),28679,20
Charlie,II M.Sc(M),4460,26
Charlie,II M.Tech,17993,27
Eva,I M.Tech,95713,28
David,I M.Sc(M),85671,27
Eva,II M.Tech,52330,27
Charlie,I M.Tech,18556,21
Bob,II M.Tech,4981,20
Bob,B.Sc(Hons),54654,23
Bob,II M.Sc(M),55643,27
Alice,B.Sc(Hons),17003,28
Bob,B.Sc(Hons),76097,29
Alice,I M.Tech,25174,23
David,I M.Tech,24157,26
Charlie,I M.Tech,40584,29
Alice,B.Sc(Hons),85574,20
David,I M.Tech,60226,20
Charlie,II M.Sc(M),67585,27
Bob,II M.Tech,5850,23
Bob,I M.Sc(M),76730,28
Bob,I M.Tech,88760,23
Bob,I M.Sc(M),91650,24
Eva,II M.Sc(M),77041,22
Eva,I M.Sc(M),56059,23
Eva,I M.Sc(M),87370,20
Charlie,II M.Sc(M),82456,25
Bob,B.Sc(Hons),83384,27
David,II M.Tech,83555,25
Eva,I M.Tech,17141,22
David,I M.Sc(M),94310,21
Alice,II M.Tech,48665,26
Alice,II M.Sc(M),38504,21
Eva,B.Sc(Hons),69223,28
Alice,II M.Tech,54818,20
Alice,B.Sc(Hons),90904,22
Eva,B.Sc(Hons),45326,21
David,B.Sc(Hons),81718,27
Eva,B.Sc(Hons),52376,30
Eva,I M.Tech,47843,25
Charlie,II M.Sc(M),13564,26
Alice,I M.Sc(M),45060,23
Alice,I M.Sc(M),8739,24
Alice,B.Sc(Hons),4142,24
Alice,B.Sc(Hons),23288,25
Bob,B.Sc(Hons),45933,20
David,I M.Tech,34345,21
David,II M.Tech,63971,30
Bob,I M.Sc(M),95135,25
Alice,I M.Sc(M),7795,24
Eva,II M.Sc(M),27011,29
Eva,II M.Tech,88926,30
Bob,B.Sc(Hons),43334,23
Eva,B.Sc(Hons),91604,21
Alice,I M.Sc(M),24605,25
Charlie,II M.Sc(M),29038,28
Bob,I M.Sc(M),43402,28
Alice,II M.Sc(M),52137,20
Charlie,II M.Sc(M),83250,22
David,I M.Tech,80325,27
Charlie,I M.Sc(M),86818,22
Bob,I M.Sc(M),23079,28
David,B.Sc(Hons),60170,27
Bob,I M.Sc(M),93235,20
Eva,I M.Tech,45918,24
Charlie,B.Sc(Hons),14014,24
David,II M.Sc(M),85371,25
David,II M.Sc(M),50713,30
Eva,I M.Sc(M),29577,25
David,B.Sc(Hons),74133,25
Alice,I M.Sc(M),66246,23
Alice,I M.Sc(M),84582,26
Alice,B.Sc(Hons),59205,25
Eva,B.Sc(Hons),62665,24
Alice,B.Sc(Hons),12724,21
Eva,II M.Sc(M),19790,25
Bob,I M.Tech,31633,22
David,I M.Sc(M),96754,30
Eva,II M.Sc(M),74615,20
Eva,I M.Sc(M),79995,24
David,II M.Sc(M),90311,21
Eva,II M.Tech,94040,26
Alice,B.Sc(Hons),49082,22
David,II M.Tech,49145,23
Alice,I M.Tech,23447,29
David,I M.Sc(M),93051,25
Alice,II M.Sc(M),17836,24
Eva,I M.Tech,64610,29
Bob,II M.Tech,71910,21
Alice,II M.Tech,44971,24
David,I M.Sc(M),57473,26
Eva,I M.Tech,35098,27
Bob,II M.Sc(M),60113,26
Alice,II M.Tech,84436,28
David,II M.Sc(M),57806,29
Charlie,I M.Tech,8294,20
Bob,II M.Tech,46670,25
Alice,II M.Tech,40441,28
Alice,I M.Tech,35339,21
David,I M.Sc(M),35648,23
Eva,II M.Tech,88255,27
Alice,I M.Sc(M),61689,20
Charlie,B.Sc(Hons),75380,27
David,B.Sc(Hons),96838,29
Alice,I M.Sc(M),96878,29
Charlie,II M.Sc(M),27105,21
Charlie,II M.Sc(M),11022,28
Bob,I M.Tech,25032,28
David,I M.Tech,49431,26
Bob,B.Sc(Hons),3329,20
Bob,II M.Tech,72847,24
Eva,II M.Sc(M),48246,26
David,B.Sc(Hons),71769,26
David,II M.Tech,1266,29
Bob,B.Sc(Hons),64627,27
David,I M.Tech,53694,29
David,B.Sc(Hons),90665,28
Charlie,II M.Tech,74806,24
Charlie,I M.Tech,87501,20
Bob,II M.Sc(M),61010,20
David,II M.Tech,962,26
Alice,II M.Sc(M),75112,23
Bob,I M.Tech,43588,22
David,B.Sc(Hons),67829,21
David,I M.Sc(M),28731,24
David,I M.Sc(M),2680,27
Bob,I M.Sc(M),69604,21
